"plan","feature","year","value"
"Plan F","Avg Number Of Claims Per Beneficiary","year_2008_2009",16.21
"Plan F","Avg Number Of Claims Per Beneficiary","year_2009_2010",15.9
"Plan F","Avg Total Paid Cost Per Beneficiary","year_2005_2006",1755.65
"Plan F","Avg Total Paid Cost Per Beneficiary","year_2006_2007",1781.22
"Plan F","Avg Total Paid Cost Per Beneficiary","year_2007_2008",1787.5
"Plan F","Avg Total Paid Cost Per Beneficiary","year_2008_2009",1739.79
"Plan F","Avg Total Paid Cost Per Beneficiary","year_2009_2010",1825.07
"Plan F","Avg Professional Fees Paid Per Claim","year_2005_2006",7.95
"Plan F","Avg Professional Fees Paid Per Claim","year_2006_2007",8.03
"Plan F","Avg Professional Fees Paid Per Claim","year_2007_2008",8.18
"Plan F","Avg Professional Fees Paid Per Claim","year_2008_2009",8.21
"Plan F","Avg Professional Fees Paid Per Claim","year_2009_2010",8.11
"Plan F","Avg Ingredient Cost Paid Per Claim","year_2005_2006",110.66
"Plan F","Avg Ingredient Cost Paid Per Claim","year_2006_2007",105.43
"Plan F","Avg Ingredient Cost Paid Per Claim","year_2007_2008",103.11
"Plan F","Avg Ingredient Cost Paid Per Claim","year_2008_2009",99.1
"Plan F","Avg Ingredient Cost Paid Per Claim","year_2009_2010",106.65
"Plan F","Avg Total Amount Paid Per Claim","year_2005_2006",118.61
"Plan F","Avg Total Amount Paid Per Claim","year_2006_2007",113.46
"Plan F","Avg Total Amount Paid Per Claim","year_2007_2008",111.29
"Plan F","Avg Total Amount Paid Per Claim","year_2008_2009",107.31
"Plan F","Avg Total Amount Paid Per Claim","year_2009_2010",114.76
"Plan F","Avg Day Supply Per Claim","year_2005_2006",31.81
"Plan F","Avg Day Supply Per Claim","year_2006_2007",30.87
"Plan F","Avg Day Supply Per Claim","year_2007_2008",30.37
"Plan F","Avg Day Supply Per Claim","year_2008_2009",29.98
"Plan F","Avg Day Supply Per Claim","year_2009_2010",30.79
"Plan G","Number Of Claims Millions","year_2005_2006",0.43
"Plan G","Number Of Claims Millions","year_2006_2007",0.47
"Plan G","Number Of Claims Millions","year_2007_2008",0.5
"Plan G","Number Of Claims Millions","year_2008_2009",0.53
"Plan G","Number Of Claims Millions","year_2009_2010",0.54
"Plan G","Number Of Beneficiaries Millions","year_2005_2006",0.02
"Plan G","Number Of Beneficiaries Millions","year_2006_2007",0.02
"Plan G","Number Of Beneficiaries Millions","year_2007_2008",0.02
"Plan G","Number Of Beneficiaries Millions","year_2008_2009",0.02
"Plan G","Number Of Beneficiaries Millions","year_2009_2010",0.02
"Plan G","Ingredient Costs Paid Millions","year_2005_2006",17
"Plan G","Ingredient Costs Paid Millions","year_2006_2007",17.51
"Plan G","Ingredient Costs Paid Millions","year_2007_2008",16.91
"Plan G","Ingredient Costs Paid Millions","year_2008_2009",17.45
"Plan G","Ingredient Costs Paid Millions","year_2009_2010",18.05
"Plan G","Professional Fees Paid Millions","year_2005_2006",3.57
"Plan G","Professional Fees Paid Millions","year_2006_2007",3.94
"Plan G","Professional Fees Paid Millions","year_2007_2008",4.24
"Plan G","Professional Fees Paid Millions","year_2008_2009",4.44
"Plan G","Professional Fees Paid Millions","year_2009_2010",4.32
"Plan G","Total Amount Paid Millions","year_2005_2006",20.57
"Plan G","Total Amount Paid Millions","year_2006_2007",21.44
"Plan G","Total Amount Paid Millions","year_2007_2008",21.15
"Plan G","Total Amount Paid Millions","year_2008_2009",21.89
"Plan G","Total Amount Paid Millions","year_2009_2010",22.37
"Plan G","Avg Number Of Claims Per Beneficiary","year_2005_2006",20.02
"Plan G","Avg Number Of Claims Per Beneficiary","year_2006_2007",21.34
"Plan G","Avg Number Of Claims Per Beneficiary","year_2007_2008",23.35
"Plan G","Avg Number Of Claims Per Beneficiary","year_2008_2009",23.87
"Plan G","Avg Number Of Claims Per Beneficiary","year_2009_2010",22.86
"Plan G","Avg Total Paid Cost Per Beneficiary","year_2005_2006",954.08
"Plan G","Avg Total Paid Cost Per Beneficiary","year_2006_2007",970.77
"Plan G","Avg Total Paid Cost Per Beneficiary","year_2007_2008",981.3
"Plan G","Avg Total Paid Cost Per Beneficiary","year_2008_2009",993.24
"Plan G","Avg Total Paid Cost Per Beneficiary","year_2009_2010",943.43
"Plan G","Avg Professional Fees Paid Per Claim","year_2005_2006",8.28
"Plan G","Avg Professional Fees Paid Per Claim","year_2006_2007",8.35
"Plan G","Avg Professional Fees Paid Per Claim","year_2007_2008",8.42
"Plan G","Avg Professional Fees Paid Per Claim","year_2008_2009",8.44
"Plan G","Avg Professional Fees Paid Per Claim","year_2009_2010",7.97
"Plan G","Avg Ingredient Cost Paid Per Claim","year_2005_2006",39.38
"Plan G","Avg Ingredient Cost Paid Per Claim","year_2006_2007",37.14
"Plan G","Avg Ingredient Cost Paid Per Claim","year_2007_2008",33.61
"Plan G","Avg Ingredient Cost Paid Per Claim","year_2008_2009",33.18
"Plan G","Avg Ingredient Cost Paid Per Claim","year_2009_2010",33.3
"Plan G","Avg Total Amount Paid Per Claim","year_2005_2006",47.66
"Plan G","Avg Total Amount Paid Per Claim","year_2006_2007",45.49
"Plan G","Avg Total Amount Paid Per Claim","year_2007_2008",42.03
"Plan G","Avg Total Amount Paid Per Claim","year_2008_2009",41.61
"Plan G","Avg Total Amount Paid Per Claim","year_2009_2010",41.27
"Plan G","Avg Day Supply Per Claim","year_2005_2006",24.64
"Plan G","Avg Day Supply Per Claim","year_2006_2007",23.7
"Plan G","Avg Day Supply Per Claim","year_2007_2008",22.88
"Plan G","Avg Day Supply Per Claim","year_2008_2009",22.32
"Plan G","Avg Day Supply Per Claim","year_2009_2010",23.23
"Plan I","Number Of Claims Millions","year_2005_2006",11.15
"Plan I","Number Of Claims Millions","year_2006_2007",11.83
"Plan I","Number Of Claims Millions","year_2007_2008",12.49
"Plan I","Number Of Claims Millions","year_2008_2009",12.97
"Plan I","Number Of Claims Millions","year_2009_2010",12.71
"Plan I","Number Of Beneficiaries Millions","year_2005_2006",0.65
"Plan I","Number Of Beneficiaries Millions","year_2006_2007",0.63
"Plan I","Number Of Beneficiaries Millions","year_2007_2008",0.61
"Plan I","Number Of Beneficiaries Millions","year_2008_2009",0.58
"Plan I","Number Of Beneficiaries Millions","year_2009_2010",0.57
"Plan I","Ingredient Costs Paid Millions","year_2005_2006",419.15
"Plan I","Ingredient Costs Paid Millions","year_2006_2007",438.43
"Plan I","Ingredient Costs Paid Millions","year_2007_2008",448.17
"Plan I","Ingredient Costs Paid Millions","year_2008_2009",464.1
"Plan I","Ingredient Costs Paid Millions","year_2009_2010",489.02
"Plan I","Professional Fees Paid Millions","year_2005_2006",75.29
"Plan I","Professional Fees Paid Millions","year_2006_2007",81.47
"Plan I","Professional Fees Paid Millions","year_2007_2008",87.36
"Plan I","Professional Fees Paid Millions","year_2008_2009",91.49
"Plan I","Professional Fees Paid Millions","year_2009_2010",83.33
"Plan I","Total Amount Paid Millions","year_2005_2006",494.44
"Plan I","Total Amount Paid Millions","year_2006_2007",519.91
"Plan I","Total Amount Paid Millions","year_2007_2008",535.53
"Plan I","Total Amount Paid Millions","year_2008_2009",555.59
"Plan I","Total Amount Paid Millions","year_2009_2010",572.35
"Plan I","Avg Number Of Claims Per Beneficiary","year_2005_2006",17.19
"Plan I","Avg Number Of Claims Per Beneficiary","year_2006_2007",18.76
"Plan I","Avg Number Of Claims Per Beneficiary","year_2007_2008",20.39
"Plan I","Avg Number Of Claims Per Beneficiary","year_2008_2009",22.17
"Plan I","Avg Number Of Claims Per Beneficiary","year_2009_2010",22.15
"Plan I","Avg Total Paid Cost Per Beneficiary","year_2005_2006",762.22
"Plan I","Avg Total Paid Cost Per Beneficiary","year_2006_2007",824.32
"Plan I","Avg Total Paid Cost Per Beneficiary","year_2007_2008",874.46
"Plan I","Avg Total Paid Cost Per Beneficiary","year_2008_2009",949.89
"Plan I","Avg Total Paid Cost Per Beneficiary","year_2009_2010",997.44
"Plan I","Avg Professional Fees Paid Per Claim","year_2005_2006",6.75
"Plan I","Avg Professional Fees Paid Per Claim","year_2006_2007",6.89
"Plan I","Avg Professional Fees Paid Per Claim","year_2007_2008",6.99
"Plan I","Avg Professional Fees Paid Per Claim","year_2008_2009",7.05
"Plan I","Avg Professional Fees Paid Per Claim","year_2009_2010",6.56
"Plan I","Avg Ingredient Cost Paid Per Claim","year_2005_2006",37.58
"Plan I","Avg Ingredient Cost Paid Per Claim","year_2006_2007",37.05
"Plan I","Avg Ingredient Cost Paid Per Claim","year_2007_2008",35.88
"Plan I","Avg Ingredient Cost Paid Per Claim","year_2008_2009",35.78
"Plan I","Avg Ingredient Cost Paid Per Claim","year_2009_2010",38.47
"Plan I","Avg Total Amount Paid Per Claim","year_2005_2006",44.33
"Plan I","Avg Total Amount Paid Per Claim","year_2006_2007",43.94
"Plan I","Avg Total Amount Paid Per Claim","year_2007_2008",42.88
"Plan I","Avg Total Amount Paid Per Claim","year_2008_2009",42.84
"Plan I","Avg Total Amount Paid Per Claim","year_2009_2010",45.03
"Plan I","Avg Day Supply Per Claim","year_2005_2006",40.65
"Plan I","Avg Day Supply Per Claim","year_2006_2007",38.74
"Plan I","Avg Day Supply Per Claim","year_2007_2008",36.85
"Plan I","Avg Day Supply Per Claim","year_2008_2009",34.76
"Plan I","Avg Day Supply Per Claim","year_2009_2010",35.4
"Plan P","Number Of Claims","year_2005_2006",262986
"Plan P","Number Of Claims","year_2006_2007",292752
"Plan P","Number Of Claims","year_2007_2008",315583
"Plan P","Number Of Claims","year_2008_2009",341315
"Plan P","Number Of Claims","year_2009_2010",366745
"Plan P","Number Of Claims Millions","year_2005_2006",0.262986
"Plan P","Number Of Claims Millions","year_2006_2007",0.292752
"Plan P","Number Of Claims Millions","year_2007_2008",0.315583
"Plan P","Number Of Claims Millions","year_2008_2009",0.341315
"Plan P","Number Of Claims Millions","year_2009_2010",0.366745
"Plan P","Number Of Beneficiaries","year_2005_2006",9481
"Plan P","Number Of Beneficiaries","year_2006_2007",8466
"Plan P","Number Of Beneficiaries","year_2007_2008",8895
"Plan P","Number Of Beneficiaries","year_2008_2009",9179
"Plan P","Number Of Beneficiaries","year_2009_2010",9862
"Plan P","Number Of Beneficiaries Millions","year_2005_2006",0.009481
"Plan P","Number Of Beneficiaries Millions","year_2006_2007",0.008466
"Plan P","Number Of Beneficiaries Millions","year_2007_2008",0.008895
"Plan P","Number Of Beneficiaries Millions","year_2008_2009",0.009179
"Plan P","Number Of Beneficiaries Millions","year_2009_2010",0.009862
"Plan P","Ingredient Costs Paid Millions","year_2005_2006",9.26
"Plan P","Ingredient Costs Paid Millions","year_2006_2007",9.69
"Plan P","Ingredient Costs Paid Millions","year_2007_2008",9.85
"Plan P","Ingredient Costs Paid Millions","year_2008_2009",10.82
"Plan P","Ingredient Costs Paid Millions","year_2009_2010",12.11
"Plan P","Professional Fees Paid Millions","year_2005_2006",2.13
"Plan P","Professional Fees Paid Millions","year_2006_2007",2.39
"Plan P","Professional Fees Paid Millions","year_2007_2008",2.6
"Plan P","Professional Fees Paid Millions","year_2008_2009",2.81
"Plan P","Professional Fees Paid Millions","year_2009_2010",2.75
"Plan P","Total Amount Paid Millions","year_2005_2006",11.39
"Plan P","Total Amount Paid Millions","year_2006_2007",12.08
"Plan P","Total Amount Paid Millions","year_2007_2008",12.45
"Plan P","Total Amount Paid Millions","year_2008_2009",13.64
"Plan P","Total Amount Paid Millions","year_2009_2010",14.86
"Plan P","Avg Number Of Claims Per Beneficiary","year_2005_2006",27.74
"Plan P","Avg Number Of Claims Per Beneficiary","year_2006_2007",34.58
"Plan P","Avg Number Of Claims Per Beneficiary","year_2007_2008",35.48
"Plan P","Avg Number Of Claims Per Beneficiary","year_2008_2009",37.18
"Plan P","Avg Number Of Claims Per Beneficiary","year_2009_2010",37.19
"Plan P","Avg Total Paid Cost Per Beneficiary","year_2005_2006",1201.55
"Plan P","Avg Total Paid Cost Per Beneficiary","year_2006_2007",1427.35
"Plan P","Avg Total Paid Cost Per Beneficiary","year_2007_2008",1400.16
"Plan P","Avg Total Paid Cost Per Beneficiary","year_2008_2009",1485.47
"Plan P","Avg Total Paid Cost Per Beneficiary","year_2009_2010",1507.18
"Plan P","Avg Professional Fees Paid Per Claim","year_2005_2006",8.1
"Plan P","Avg Professional Fees Paid Per Claim","year_2006_2007",8.18
"Plan P","Avg Professional Fees Paid Per Claim","year_2007_2008",8.25
"Plan P","Avg Professional Fees Paid Per Claim","year_2008_2009",8.25
"Plan P","Avg Professional Fees Paid Per Claim","year_2009_2010",7.51
"Plan P","Avg Ingredient Cost Paid Per Claim","year_2005_2006",35.21
"Plan P","Avg Ingredient Cost Paid Per Claim","year_2006_2007",33.1
"Plan P","Avg Ingredient Cost Paid Per Claim","year_2007_2008",31.21
"Plan P","Avg Ingredient Cost Paid Per Claim","year_2008_2009",31.7
"Plan P","Avg Ingredient Cost Paid Per Claim","year_2009_2010",33.02
"Plan P","Avg Total Amount Paid Per Claim","year_2005_2006",43.32
"Plan P","Avg Total Amount Paid Per Claim","year_2006_2007",41.28
"Plan P","Avg Total Amount Paid Per Claim","year_2007_2008",39.46
"Plan P","Avg Total Amount Paid Per Claim","year_2008_2009",39.95
"Plan P","Avg Total Amount Paid Per Claim","year_2009_2010",40.53
"Plan P","Avg Day Supply Per Claim","year_2005_2006",16.58
"Plan P","Avg Day Supply Per Claim","year_2006_2007",15.92
"Plan P","Avg Day Supply Per Claim","year_2007_2008",15.51
"Plan P","Avg Day Supply Per Claim","year_2008_2009",15.19
